Date,Close
12/02/19,42.72
13/02/19,42.55
14/02/19,42.7
15/02/19,42.61
19/02/19,42.73
20/02/19,43.01
21/02/19,42.77
22/02/19,43.24
25/02/19,43.56
26/02/19,43.58
27/02/19,43.72
28/02/19,43.29
01/03/19,43.74
04/03/19,43.96
05/03/19,43.88
06/03/19,43.63
07/03/19,43.13
08/03/19,43.23
11/03/19,44.73
12/03/19,45.23
13/03/19,45.43
14/03/19,45.93
15/03/19,46.53
18/03/19,47.01
19/03/19,46.63
20/03/19,47.04
21/03/19,48.77
22/03/19,47.76
25/03/19,47.19
26/03/19,46.7
27/03/19,47.12
28/03/19,47.18
29/03/19,47.49
01/04/19,47.81
02/04/19,48.51
03/04/19,48.84
04/04/19,48.92
05/04/19,49.25
08/04/19,50.03
09/04/19,49.88
10/04/19,50.16
11/04/19,49.74
12/04/19,49.72
15/04/19,49.81
16/04/19,49.81
17/04/19,50.78
18/04/19,50.97
22/04/19,51.13
23/04/19,51.87
24/04/19,51.79
25/04/19,51.32
26/04/19,51.08
29/04/19,51.15
30/04/19,50.17
01/05/19,52.63
02/05/19,52.29
03/05/19,52.94
06/05/19,52.12
07/05/19,50.72
08/05/19,50.73
09/05/19,50.18
10/05/19,49.3
13/05/19,46.43
